Epoch, Wall Time, Epoch time, Train_loss, Train_top_1, Test_loss, Test_top_1
1,11.053,11.053,2.47376,22.004,1.77575,33.42,
2,21.877,10.824,1.60166,40.638,1.50692,44.07,
3,32.706,10.829,1.39476,48.9,1.29916,52.27,
4,43.551,10.845,1.22516,55.56,1.30658,53.66,
5,54.428,10.877,1.0859,61.102,1.1012,60.48,
6,65.322,10.894,0.972754,65.254,1.09479,61.43,
7,76.252,10.93,0.870541,69.294,0.991828,65.77,
8,87.124,10.872,0.781315,72.652,1.00013,65.58,
9,98.025,10.901,0.713332,75.204,1.43101,64.66,
10,108.936,10.911,0.646528,77.382,0.894405,70.4,
11,119.834,10.898,0.593123,79.404,0.978,68.63,
12,130.804,10.97,0.527841,81.44,1.0429,67.77,
13,141.79,10.986,0.463664,83.618,0.954292,69.84,
14,152.831,11.041,0.489394,82.836,0.989119,69.92,
15,163.887,11.056,0.406651,86.038,1.02113,70.24,
16,174.904,11.017,0.344916,87.956,1.04282,70.07,
17,185.866,10.962,0.32094,88.824,1.04794,70.53,
18,196.838,10.972,0.277964,90.398,1.0798,71.32,
19,207.806,10.968,0.250622,91.372,1.04215,70.35,
20,218.866,11.06,0.233849,91.944,1.17452,70.08,
21,229.857,10.991,0.231757,91.95,1.21887,69.66,
22,240.847,10.99,0.222688,92.34,1.16007,70.73,
23,251.901,11.054,0.183307,93.626,1.22934,70.48,
24,262.933,11.032,0.180911,93.666,1.18471,71.52,
25,273.942,11.009,0.146571,94.862,1.25223,70.93,
26,284.96,11.018,0.183357,93.682,1.19632,70.39,
27,295.981,11.021,0.145461,95.006,1.21355,71.29,
28,307.036,11.055,0.129206,95.538,1.28901,70.55,
29,318.209,11.173,0.124713,95.604,1.2683,70.67,
30,329.398,11.189,0.133768,95.282,1.2191,70.4,
31,340.533,11.135,0.119699,95.902,1.283,70.65,
32,351.613,11.08,0.117915,95.932,1.27649,71.47,
33,362.707,11.094,0.112371,96.098,1.3083,70.87,
34,373.88,11.173,0.113802,96.08,1.32811,71.49,
35,384.934,11.054,0.118031,95.89,1.1896,72.06,
36,396.17,11.236,0.110516,96.242,1.31323,70.17,
37,407.504,11.334,0.114158,96.038,1.25333,71.78,
38,418.876,11.372,0.105371,96.364,1.3128,70.73,
39,430.071,11.195,0.111457,96.264,1.20806,71.92,
40,441.259,11.188,0.106885,96.282,1.25871,71.22,
41,452.438,11.179,0.110748,96.252,1.35934,69.73,
42,463.639,11.201,0.104759,96.36,1.30805,69.92,
43,474.817,11.178,0.10127,96.556,1.30675,71.02,
44,486.022,11.205,0.0987129,96.578,1.231,71.65,
45,497.228,11.206,0.104643,96.424,1.26958,71.01,
46,508.436,11.208,0.109181,96.234,1.18432,72.62,
47,519.682,11.246,0.100969,96.534,1.25432,71.14,
48,530.894,11.212,0.0983387,96.68,1.39471,69.8,
49,542.118,11.224,0.104747,96.398,1.26715,71.41,
50,553.106,10.988,0.105326,96.406,1.25164,72.06,
Latency,4.23 in ms
